stage,z_window,z_threshold,rsi_percentile,rsi_lookback,hold,stop_atr,entry_type,use_volume,vol_window,vol_threshold,trades,wins,losses,win_rate,gross_total_return,net_total_return,avg_trade_return_net,sharpe_per_bar,max_drawdown,exposure,gate
2,360,3.0,10,30,10,0.5,and,True,20,2.0,65,15,50,0.23076923076923078,0.04062359852826325,-0.0374595061419567,-0.0005835965574592407,-8.719999178817618,-0.0374595061419567,0.01369047619047619,no_go
2,360,3.0,5,50,10,0.5,and,True,20,2.0,53,11,42,0.20754716981132076,0.028155744337769573,-0.03520383062250254,-0.0006721345385590498,-8.739413967314938,-0.03628592418575305,0.011259920634920635,no_go
1,360,3.0,5,30,10,0.5,and,True,20,1.5,56,11,45,0.19642857142857142,0.030749837786802292,-0.03624454179534886,-0.0006552606503650038,-8.844142088287928,-0.038625721573249505,0.011607142857142858,no_go
2,360,3.0,5,30,10,0.5,and,True,20,1.5,56,11,45,0.19642857142857142,0.030749837786802292,-0.03624454179534886,-0.0006552606503650038,-8.844142088287928,-0.038625721573249505,0.011607142857142858,no_go
2,360,3.0,5,50,10,1.0,and,True,20,2.0,52,15,37,0.28846153846153844,0.024241314810911962,-0.037726735399017275,-0.0007349536590801337,-8.898527721231995,-0.037726735399017275,0.014384920634920634,no_go
1,360,3.0,5,50,10,0.5,and,True,20,1.5,56,11,45,0.19642857142857142,0.03025535246309885,-0.036707445364826286,-0.0006637931003725604,-8.907738486624199,-0.037787852507788156,0.012053571428571429,no_go
2,360,3.0,5,50,10,0.5,and,True,20,1.5,56,11,45,0.19642857142857142,0.03025535246309885,-0.036707445364826286,-0.0006637931003725604,-8.907738486624199,-0.037787852507788156,0.012053571428571429,no_go
2,360,3.0,5,30,10,0.5,and,True,20,2.0,54,11,43,0.2037037037037037,0.027664561587144032,-0.036822497936558896,-0.0006907879556920786,-9.157404729204051,-0.039202249740730055,0.010863095238095238,no_go
2,360,3.0,10,30,20,0.5,and,True,20,2.0,65,12,53,0.18461538461538463,0.0367050751817537,-0.041088367782533664,-0.0006413962797915092,-9.212341108466173,-0.041088367782533664,0.021279761904761905,no_go
2,360,3.0,5,50,10,0.8,and,True,20,2.0,53,13,40,0.24528301886792453,0.024604523686792446,-0.03854021842468058,-0.0007372112637687977,-9.269666890864062,-0.038712207789056374,0.013244047619047619,no_go
1,360,3.0,5,50,10,1.0,and,True,20,1.5,55,15,40,0.2727272727272727,0.02491642863900334,-0.04055403056778639,-0.0007481155120513562,-9.31864608697876,-0.04055403056778639,0.015029761904761905,no_go
2,360,3.0,5,50,10,1.0,and,True,20,1.5,55,15,40,0.2727272727272727,0.02491642863900334,-0.04055403056778639,-0.0007481155120513562,-9.31864608697876,-0.04055403056778639,0.015029761904761905,no_go
1,360,3.0,5,30,10,0.8,and,True,20,1.5,56,13,43,0.23214285714285715,0.027014473511970616,-0.039741323880902124,-0.0007199029858994806,-9.40974132448714,-0.04172573434408133,0.013293650793650793,no_go
2,360,3.0,5,30,10,0.8,and,True,20,1.5,56,13,43,0.23214285714285715,0.027014473511970616,-0.039741323880902124,-0.0007199029858994806,-9.40974132448714,-0.04172573434408133,0.013293650793650793,no_go
1,360,3.0,5,50,10,0.8,and,True,20,1.5,56,13,43,0.23214285714285715,0.025846577235294044,-0.04083462198746646,-0.0007401637133041886,-9.583250780115177,-0.04100620092072704,0.013740079365079365,no_go
2,360,3.0,5,50,10,0.8,and,True,20,1.5,56,13,43,0.23214285714285715,0.025846577235294044,-0.04083462198746646,-0.0007401637133041886,-9.583250780115177,-0.04100620092072704,0.013740079365079365,no_go
2,360,3.0,10,30,10,1.0,and,True,20,2.0,64,19,45,0.296875,0.03257758997730997,-0.04376323204769761,-0.0006948883972851105,-9.628371835583545,-0.04376323204769761,0.01691468253968254,no_go
1,360,3.0,5,30,10,1.0,and,True,20,1.5,55,14,41,0.2545454545454545,0.02372180260431933,-0.04167368207053357,-0.0007694153828859585,-9.656924312886696,-0.043395692363078386,0.013938492063492064,no_go
2,360,3.0,5,30,10,1.0,and,True,20,1.5,55,14,41,0.2545454545454545,0.02372180260431933,-0.04167368207053357,-0.0007694153828859585,-9.656924312886696,-0.043395692363078386,0.013938492063492064,no_go
2,360,3.0,5,30,10,0.8,and,True,20,2.0,54,13,41,0.24074074074074073,0.024199957592933252,-0.04007360103977764,-0.0007531328568101478,-9.666430019641968,-0.04205732483978253,0.012847222222222222,no_go
2,360,3.0,10,30,10,0.8,and,True,20,2.0,65,17,48,0.26153846153846155,0.034576278494543145,-0.043059780999834874,-0.0006730710084412782,-9.684783840939497,-0.043059780999834874,0.01572420634920635,no_go
1,360,3.0,10,30,10,0.5,and,True,20,1.5,72,16,56,0.2222222222222222,0.04342213308787768,-0.0429458429765186,-0.0006060426863700863,-9.741592957431696,-0.0429458429765186,0.015029761904761905,no_go
2,360,3.0,10,30,10,0.5,and,True,20,1.5,72,16,56,0.2222222222222222,0.04342213308787768,-0.0429458429765186,-0.0006060426863700863,-9.741592957431696,-0.0429458429765186,0.015029761904761905,no_go
2,360,3.0,10,14,10,0.5,and,True,20,2.0,63,13,50,0.20634920634920634,0.03363626294756594,-0.04163157264798534,-0.000671100348926341,-9.752721478528057,-0.04388502760642521,0.012698412698412698,no_go
2,360,3.0,10,30,25,0.5,and,True,20,2.0,65,11,54,0.16923076923076924,0.03477017823199424,-0.04288020480941601,-0.0006703456941154224,-9.847047179809396,-0.04296759227246738,0.024503968253968254,no_go
2,360,3.0,5,30,10,1.0,and,True,20,2.0,53,14,39,0.2641509433962264,0.021088879390637416,-0.0418431625382083,-0.0008019538810641836,-9.875586407290402,-0.04356486829240913,0.013343253968253968,no_go
2,360,3.0,10,30,15,0.5,and,True,20,2.0,65,13,52,0.2,0.03304247022651796,-0.04448019327143338,-0.000695891386329928,-9.966170953917691,-0.04448019327143338,0.017708333333333333,no_go
2,360,3.0,15,20,20,0.5,and,True,20,2.0,70,13,57,0.18571428571428572,0.03828540086930676,-0.045373319972395465,-0.0006593967592154744,-9.985755929320808,-0.045373319972395465,0.022470238095238095,no_go
2,360,3.0,15,20,10,0.5,and,True,20,2.0,70,16,54,0.22857142857142856,0.04037666286194952,-0.04344822215271382,-0.0006309591404185826,-9.995463443679892,-0.04344822215271382,0.014384920634920634,no_go
1,200,3.0,5,30,10,0.5,and,True,20,1.5,67,14,53,0.208955223880597,0.03741244245705011,-0.04273484386046311,-0.0006482662637562733,-10.073980311545055,-0.04509998785262759,0.014087301587301588,no_go
2,200,3.0,5,30,10,0.5,and,True,20,1.5,67,14,53,0.208955223880597,0.03741244245705011,-0.04273484386046311,-0.0006482662637562733,-10.073980311545055,-0.04509998785262759,0.014087301587301588,no_go
2,360,3.0,5,50,15,0.5,and,True,20,2.0,53,9,44,0.16981132075471697,0.020362514698499368,-0.04252557017908887,-0.0008155067420269412,-10.157431401676138,-0.04252557017908887,0.014384920634920634,no_go
2,360,3.0,10,14,10,1.0,and,True,20,2.0,61,16,45,0.26229508196721313,0.02680175686782893,-0.045687035145777766,-0.0007621754605594691,-10.175537893765602,-0.047287826152078605,0.015823412698412698,no_go
2,360,3.0,15,20,10,1.0,and,True,20,2.0,68,20,48,0.29411764705882354,0.03416989897956668,-0.046875633154283225,-0.0007018756283094079,-10.233173320917205,-0.046875633154283225,0.01820436507936508,no_go
2,360,3.0,10,30,30,0.5,and,True,20,2.0,65,12,53,0.18461538461538463,0.03585135132429462,-0.04187892921241587,-0.0006547268575291442,-10.256909953846662,-0.04252717451616839,0.02748015873015873,no_go
2,360,3.0,5,30,15,0.5,and,True,20,2.0,54,9,45,0.16666666666666666,0.02112984908405191,-0.04295449739521984,-0.0008087150760700261,-10.277656670411142,-0.04458430201847663,0.013839285714285714,no_go
2,200,3.0,5,30,10,0.5,and,True,20,2.0,64,14,50,0.21875,0.034152353154673465,-0.04230308437577335,-0.0006718501754685753,-10.308854467313306,-0.04466929512916351,0.013740079365079365,no_go
1,360,3.0,10,30,10,0.8,and,True,20,1.5,71,18,53,0.2535211267605634,0.03708604935402349,-0.04762158926877513,-0.0006832543749435635,-10.410870857008744,-0.04762158926877513,0.01711309523809524,no_go
2,360,3.0,10,30,10,0.8,and,True,20,1.5,71,18,53,0.2535211267605634,0.03708604935402349,-0.04762158926877513,-0.0006832543749435635,-10.410870857008744,-0.04762158926877513,0.01711309523809524,no_go
2,360,3.0,5,20,10,0.5,and,True,20,2.0,57,11,46,0.19298245614035087,0.025513978442214924,-0.042296573237634805,-0.000754326212100027,-10.423570057072851,-0.04466280007829104,0.011061507936507937,no_go
1,360,3.0,10,30,20,0.5,and,True,20,1.5,72,13,59,0.18055555555555555,0.03821575819027223,-0.04772700649242945,-0.0006753122992113731,-10.44630503204064,-0.04772700649242945,0.023214285714285715,no_go
2,360,3.0,10,30,20,0.5,and,True,20,1.5,72,13,59,0.18055555555555555,0.03821575819027223,-0.04772700649242945,-0.0006753122992113731,-10.44630503204064,-0.04772700649242945,0.023214285714285715,no_go
1,360,3.0,10,30,10,1.0,and,True,20,1.5,70,20,50,0.2857142857142857,0.03413123608823887,-0.049197363350313106,-0.0007164664093551418,-10.501038593859947,-0.049197363350313106,0.0185515873015873,no_go
2,360,3.0,10,30,10,1.0,and,True,20,1.5,70,20,50,0.2857142857142857,0.03413123608823887,-0.049197363350313106,-0.0007164664093551418,-10.501038593859947,-0.049197363350313106,0.0185515873015873,no_go
2,360,3.0,15,30,10,0.5,and,True,20,2.0,70,15,55,0.21428571428571427,0.03798280217422789,-0.04565184304108316,-0.0006639145563765043,-10.528155489512603,-0.04565184304108316,0.013938492063492064,no_go
1,360,3.0,10,14,10,0.5,and,True,20,1.5,68,13,55,0.19117647058823528,0.03494327080649007,-0.04616198347332945,-0.0006912482677412688,-10.568958291348308,-0.04840478587222452,0.01378968253968254,no_go
2,360,3.0,10,14,10,0.5,and,True,20,1.5,68,13,55,0.19117647058823528,0.03494327080649007,-0.04616198347332945,-0.0006912482677412688,-10.568958291348308,-0.04840478587222452,0.01378968253968254,no_go
2,360,3.0,10,20,10,0.5,and,True,20,2.0,66,13,53,0.19696969696969696,0.03314446166578189,-0.04553245752946833,-0.0007023277942421517,-10.599505828410944,-0.04577776645110454,0.013293650793650793,no_go
2,360,3.0,15,14,10,0.5,and,True,20,2.0,70,14,56,0.2,0.03685804760185252,-0.04668722095400446,-0.0006793054768311667,-10.603586948739148,-0.04693223308841865,0.014384920634920634,no_go
2,360,3.0,5,30,10,0.8,and,True,20,1.0,61,15,46,0.2459016393442623,0.027146040096578616,-0.04536664367006393,-0.0007570945561827209,-10.622287246769181,-0.04536664367006393,0.014831349206349206,no_go
